id,discipline,top_id,top_question,q_id,depth,question_text,branch_type,parent_q_id,keywords,expansion_note,grok_trigger
1,Linguistics,1,What if your language has no word for privacy?,0,0,What if your language has no word for privacy?,Top,,,,
2,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,1,1,If the concept of a hidden inner life was never named in your language,Left,0,,,
3,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,2,1,Would you feel strangely exposed if you suddenly had to live in a language where nothing?,Right,0,,,
4,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,3,2,Does that mean some of the boundaries you treat as natural between yourself and others?,Left,1,,,
5,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,4,2,Would your most intimate relationships feel different,Right,1,,,
6,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,5,2,If nothing about your inner state could stay unmarked,Left,2,,,
7,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,6,2,"Would you develop new, more creative forms of evasion just to protect some small zone",Right,2,,,
8,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,7,3,How many of the things you call 'personal boundaries' would even make sense,Left,3,,,
9,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,8,3,Would you still value 'authenticity' if being fully known had always been the?,Right,3,,,
10,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,9,3,Does this make the modern obsession with 'mental health' and 'boundaries' partly a?,Left,4,,,
11,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,10,3,Would you feel more or less free if the language around you made secrecy feel like a?,Right,4,,,
12,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,11,3,If your inner life had never been granted its own private grammatical space,Left,5,,,
13,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,12,3,Would you invent new rituals or private languages with lovers and friends just to create?,Right,5,,,
14,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,13,3,Does the relief you sometimes feel when someone 'really sees you' depend on the?,Left,6,,,
15,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,14,3,Would constant legibility make you more careful about what thoughts you allow yourself?,Right,6,,,
16,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,15,4,Would you still write diaries or keep secrets,Left,7,,,
17,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,16,4,Does the entire project of 'self-discovery' start to look like an attempt to find?,Right,7,,,
18,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,17,4,How much of what you call 'intimacy' is actually the rare and luxurious experience of?,Left,8,,,
19,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,18,4,Would you feel strangely lonely in a world where no one ever had to 'open up' because?,Right,8,,,
20,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,19,4,If your language had never given you the tools to hide parts of yourself,Left,9,,,
21,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,20,4,Would you become more or less interesting to yourself,Right,9,,,
22,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,21,4,Does the value you place on 'personal space' and 'alone time' partly depend on a language,Left,10,,,
23,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,22,4,Would you still want to be known if being fully known had never been optional?,Right,10,,,
24,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,23,5,Would you still believe that some thoughts are 'yours alone',Left,15,,,
25,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,24,5,Does the entire modern project of protecting mental privacy start to look like a recent?,Right,15,,,
26,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,25,5,How would your sense of dignity change if the default setting of language had always?,Left,16,,,
27,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,26,5,Would you still experience the thrill of being truly understood,Right,16,,,
28,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,27,5,If your language had never made a private self feel possible,Left,17,,,
29,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,28,5,Would the relief of 'finally being alone' even exist,Right,17,,,
30,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,29,5,Does this make the fear of total surveillance partly a fear,Left,18,,,
31,Linguistics,1,What if the language you think in has no word for 'privacy' — does that make the very idea of a private inner life feel slightly foreign to you?,30,5,Would you fight harder or give up faster to protect a zone of inner life,Right,18,,,
32,Linguistics,2,What if lying was grammatically awkward in your language?,0,0,What if lying was grammatically awkward in your language?,Top,,,,
33,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,1,1,If the concept of a hidden inner life was never named in your language,Left,0,,,
34,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,2,1,Would you feel strangely exposed if you suddenly had to live in a language where nothing?,Right,0,,,
35,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,3,2,Does that mean some of the boundaries you treat as natural between yourself and others?,Left,1,,,
36,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,4,2,Would your most intimate relationships feel different,Right,1,,,
37,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,5,2,If nothing about your inner state could stay unmarked,Left,2,,,
38,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,6,2,"Would you develop new, more creative forms of evasion just to protect some small zone",Right,2,,,
39,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,7,3,How many of the things you call 'personal boundaries' would even make sense,Left,3,,,
40,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,8,3,Would you still value 'authenticity' if being fully known had always been the?,Right,3,,,
41,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,9,3,Does this make the modern obsession with 'mental health' and 'boundaries' partly a?,Left,4,,,
42,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,10,3,Would you feel more or less free if the language around you made secrecy feel like a?,Right,4,,,
43,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,11,3,If your inner life had never been granted its own private grammatical space,Left,5,,,
44,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,12,3,Would you invent new rituals or private languages with lovers and friends just to create?,Right,5,,,
45,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,13,3,Does the relief you sometimes feel when someone 'really sees you' depend on the?,Left,6,,,
46,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,14,3,Would constant legibility make you more careful about what thoughts you allow yourself?,Right,6,,,
47,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,15,4,Would you still write diaries or keep secrets,Left,7,,,
48,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,16,4,Does the entire project of 'self-discovery' start to look like an attempt to find?,Right,7,,,
49,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,17,4,How much of what you call 'intimacy' is actually the rare and luxurious experience of?,Left,8,,,
50,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,18,4,Would you feel strangely lonely in a world where no one ever had to 'open up' because?,Right,8,,,
51,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,19,4,If your language had never given you the tools to hide parts of yourself,Left,9,,,
52,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,20,4,Would you become more or less interesting to yourself,Right,9,,,
53,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,21,4,Does the value you place on 'personal space' and 'alone time' partly depend on a language,Left,10,,,
54,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,22,4,Would you still want to be known if being fully known had never been optional?,Right,10,,,
55,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,23,5,Would you still believe that some thoughts are 'yours alone',Left,15,,,
56,Linguistics,2,What if your native language makes it structurally difficult to tell a direct lie without sounding awkward — would you end up more honest or just more evasive?,24,5,Does the entire modern project of protecting mental privacy start to look like a recent?,Right,15,,,
